,Manager_id,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TO,PTS
3,11,Dario Saric,5.0,11.4,0.44,1.8,2.1,0.853,1.8,7.0,2.6,0.7,0.3,1.9,13.7
4,11,Jusuf Nurkic,5.9,12.9,0.459,2.8,4.4,0.635,0.0,7.8,1.9,0.8,1.3,2.7,14.6
5,11,Elfrid Payton,5.3,10.4,0.508,1.5,2.5,0.608,0.6,4.0,6.6,1.4,0.3,2.7,12.6
6,11,Bobby Portis,4.7,9.9,0.476,1.8,2.1,0.836,0.9,6.7,1.6,0.4,0.2,1.1,12.1
7,11,Devin Booker,8.4,18.9,0.444,5.6,6.4,0.875,2.6,4.4,4.3,0.9,0.3,3.4,25.0
8,11,Tyson Chandler,2.7,4.2,0.631,1.4,2.2,0.641,0.0,9.6,1.1,0.3,0.7,1.2,6.7
9,11,Al-Farouq Aminu,3.3,8.1,0.41,0.7,1.0,0.696,2.0,7.1,1.1,0.8,0.8,1.2,9.3
10,11,Gorgui Dieng,2.4,5.0,0.489,1.3,1.6,0.78,0.3,4.9,1.1,0.7,0.3,0.9,6.4
11,11,Terry Rozier,3.4,8.5,0.399,1.0,1.3,0.788,1.6,4.4,2.1,1.0,0.1,0.8,9.4
12,11,Marcus Morris,4.0,9.8,0.403,2.0,2.6,0.784,1.3,5.1,1.4,0.6,0.3,1.2,11.2
0,12,Jordan Clarkson,5.6,12.5,0.449,1.8,2.4,0.759,1.3,2.8,3.1,0.7,0.0,1.7,14.3
1,12,Will Barton,5.5,12.2,0.448,2.1,2.8,0.733,1.8,5.1,3.9,1.1,0.6,1.6,14.8
2,12,Thaddeus Young,5.2,10.8,0.479,0.6,0.9,0.618,0.9,5.8,2.1,1.7,0.4,1.2,11.8
3,12,Brandon Ingram,5.9,13.3,0.442,3.7,5.4,0.677,0.5,5.3,3.2,0.9,0.8,2.5,15.9
4,12,Kelly Olynyk,3.7,7.3,0.509,1.7,2.2,0.768,1.4,5.9,2.1,0.9,0.5,2.2,10.5
5,12,Stephen Curry,8.7,17.8,0.489,5.8,6.2,0.926,4.0,5.2,6.4,1.6,0.2,2.8,27.1
6,12,Dwight Powell,2.8,4.9,0.572,1.3,1.7,0.754,0.3,4.9,0.9,0.8,0.4,0.7,7.2
7,12,Anthony Davis,9.4,17.0,0.556,6.3,7.8,0.812,0.7,10.4,2.4,1.1,2.1,2.1,25.9
8,12,Wesley Matthews,4.3,10.6,0.406,1.0,1.2,0.809,2.4,3.1,2.9,1.1,0.2,1.5,11.9
9,12,Gerald Green,5.6,10.2,0.549,1.4,1.4,1.0,4.2,3.0,0.4,1.0,0.2,1.0,16.8
10,12,Malik Monk,2.1,6.1,0.346,0.4,0.6,0.706,1.2,1.1,1.4,0.3,0.1,0.7,5.8
11,12,Frank Ntilikina,2.3,6.3,0.365,0.7,0.9,0.719,0.6,2.2,3.3,1.3,0.1,1.8,5.9
12,12,Patty Mills,3.3,7.8,0.424,1.2,1.4,0.906,1.8,1.9,2.8,0.7,0.2,1.3,9.7
0,13,Kyrie Irving,8.9,18.4,0.486,3.9,4.4,0.89,2.6,3.3,4.9,1.2,0.3,2.4,24.4
1,13,Rodney Hood,6.0,14.7,0.405,2.2,2.6,0.855,2.8,2.6,1.7,0.9,0.2,1.8,17.0
2,13,Giannis Antetokounmpo,10.8,19.6,0.549,7.1,9.1,0.779,0.5,10.3,4.7,1.6,1.3,2.8,29.1
3,13,Kristaps Porzingis,8.5,19.3,0.439,5.1,6.2,0.832,1.7,6.7,1.3,0.6,2.2,2.2,23.8
4,13,Enes Kanter,5.7,9.6,0.598,1.9,2.2,0.882,0.0,10.0,1.3,0.5,0.4,1.6,13.4
5,13,J.J. Barea,4.5,10.0,0.446,1.3,1.8,0.743,1.8,3.1,6.0,0.6,0.1,2.1,12.1
6,13,TJ Warren,8.0,16.4,0.487,3.3,4.3,0.771,0.3,5.6,1.4,1.0,0.7,1.5,19.6
